_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,context_2,CV_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
B,Mrajesh2_14,stimulus_51_B,raw_data/wav/Mrajesh2.wav,54.08,54.55,ATXA,Mrajesh2,C,I,t͡ʃ,TGT,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_25,123.28,122.84,d͡ʒ,Fbhavya1,ADXA
A,Mnirbhay1_25,stimulus_52_A,"NA",NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,"NA",Fsakshi2_25,NA,NA,NA,NA,NA
B,Mrajesh2_26,stimulus_53_B,raw_data/wav/Mrajesh2.wav,100.57,101.06,ADXHA,Mrajesh2,C,I,d͡ʒʱ,TGT,I,C,raw_data/wav/Fsakshi1.wav,Fsakshi1_26,84.27825,83.87,d͡ʒʱ,Fsakshi1,ADXHA
B,FNiralee1_13,stimulus_54_B,raw_data/wav/FNiralee1.wav,70.716,71.11,ATXA,FNiralee1,C,I,t͡ʃ,TGT,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_13,51.58,51.15,t͡ʃ,Mrajesh2,ATXA
B,Mnirbhay2_9,stimulus_55_B,"NA",NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,"NA",Fsakshi1_10,NA,NA,NA,NA,NA
A,Mnirbhay1_12,stimulus_56_A,"NA",NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,"NA",Fbhavya1_12,NA,NA,NA,NA,NA
B,Mrajesh2_11,stimulus_57_B,"NA",NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,"NA",Fbhavya2_11,NA,NA,NA,NA,NA
B,Mnirbhay1_7,stimulus_58_B,"NA",NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,"NA",FNiralee2_7,NA,NA,NA,NA,NA
B,FNiralee2_2,stimulus_59_B,raw_data/wav/FNiralee2.wav,8.61035,9.0036,AKA,FNiralee2,C,I,k,TGT,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_10,63.11956,62.66857,ɡʱ,Mnirbhay2,AGHA
A,Fbhavya1_10,stimulus_60_A,raw_data/wav/Fbhavya1.wav,70.14459,70.56,AGHA,Fbhavya1,C,I,ɡʱ,TGT,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_10,63.11956,62.66857,ɡʱ,Mnirbhay2,AGHA
B,Mnirbhay2_11,stimulus_61_B,raw_data/wav/Mnirbhay2.wav,64.51549,65.00944,AGHA,Mnirbhay2,C,I,ɡʱ,TGT,I,C,raw_data/wav/Fsakshi1.wav,Fsakshi1_11,39.98945,39.61802,ɡʱ,Fsakshi1,AGHA
B,FNiralee2_1,stimulus_62_B,raw_data/wav/FNiralee2.wav,5.70032,6.08702,AKA,FNiralee2,C,I,k,TGT,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_1,9.88074,9.43,k,Mnirbhay2,AKA
B,FNiralee2_53,stimulus_63_B,raw_data/wav/FNiralee2.wav,208.33,208.79,ANA,FNiralee2,C,I,n,TGT,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_106,759.21774,758.73893,ɳ,Mnirbhay2,ANRA
A,Fsakshi2_106,stimulus_64_A,raw_data/wav/Fsakshi2.wav,284.16595,284.58224,ANRA,Fsakshi2,C,I,ɳ,TGT,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_106,430.27,429.85,ɳ,Mrajesh2,ANRA
B,Fbhavya2_107,stimulus_65_B,raw_data/wav/Fbhavya2.wav,406.98305,407.46444,ANRA,Fbhavya2,C,I,ɳ,TGT,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_107,435.61,435.27693,ɳ,Mrajesh1,ANRA
B,Mnirbhay1_52,stimulus_66_B,"NA",NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,"NA",Fbhavya1_52,NA,NA,NA,NA,NA
B,Fbhavya2_71,stimulus_67_B,"NA",NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,"NA",Mrajesh2_106,NA,NA,NA,NA,NA
A,FNiralee2_107,stimulus_68_A,raw_data/wav/FNiralee2.wav,433.42,433.81,ANRA,FNiralee2,C,I,ɳ,TGT,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_107,433.81,433.42,ɳ,Mrajesh2,ANRA
B,Mrajesh2_108,stimulus_69_B,raw_data/wav/Mrajesh2.wav,436.76,437.17,ANRA,Mrajesh2,C,I,ɳ,TGT,I,C,raw_data/wav/Fbhavya2.wav,Fbhavya2_108,409.81447,409.34166,ɳ,Fbhavya2,ANRA
B,Fbhavya1_70,stimulus_70_B,raw_data/wav/Fbhavya1.wav,246.88,247.27077,AJA,Fbhavya1,C,I,j,TGT,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_70,277.43,277.02,j,Mrajesh2,AJA
A,Mnirbhay2_103,stimulus_0_A,raw_data/wav/Mnirbhay2.wav,737.96011,738.40035,ARTA,Mnirbhay2,C,I,ɽ,OTH,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_47,203.28,202.96553,d,FNiralee1,ADA
B,Fbhavya2_103,stimulus_1_B,raw_data/wav/Fbhavya2.wav,396.54195,396.95617,ARTA,Fbhavya2,C,I,ɽ,OTH,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_46,201.22,200.94355,d,Mrajesh1,ADA
B,Mnirbhay1_46,stimulus_2_B,raw_data/wav/Mnirbhay1.wav,372.64645,373.15218,ADA,Mnirbhay1,C,I,d,OTH,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_103,421.76,421.38014,ɽ,FNiralee1,ARTA
B,Mrajesh1_74,stimulus_3_B,raw_data/wav/Mrajesh1.wav,307.76,308.17,ARA,Mrajesh1,C,I,ɾ,OTH,I,C,raw_data/wav/Fbhavya2.wav,Fbhavya2_74,305.53542,305.1463,ɾ,Fbhavya2,ARA
A,Mrajesh2_103,stimulus_4_A,raw_data/wav/Mrajesh2.wav,417.44,417.87,ARTA,Mrajesh2,C,I,ɽ,OTH,I,C,raw_data/wav/Fbhavya2.wav,Fbhavya2_75,308.06,307.58,ɾ,Fbhavya2,ARA
B,Fsakshi2_105,stimulus_5_B,raw_data/wav/Fsakshi2.wav,281.28485,281.60484,ARTA,Fsakshi2,C,I,ɽ,OTH,I,C,raw_data/wav/Mnirbhay1.wav,Mnirbhay1_75,592.14416,591.67062,ɾ,Mnirbhay1,ARA
B,Mrajesh2_75,stimulus_6_B,raw_data/wav/Mrajesh2.wav,295.55,295.94,ARA,Mrajesh2,C,I,ɾ,OTH,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_104,338.69898,338.33398,ɽ,Fbhavya1,ARTA
B,Mnirbhay1_40,stimulus_7_B,raw_data/wav/Mnirbhay1.wav,334.4052,334.87117,ATA,Mnirbhay1,C,I,t,OTH,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_40,111.63,111.13,t,Fsakshi2,ATA
A,Fsakshi2_29,stimulus_8_A,raw_data/wav/Fsakshi2.wav,83.63506,84.02,ATRA,Fsakshi2,C,I,ʈ,OTH,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_41,275.68,275.22682,t,Mnirbhay2,ATA
B,Fbhavya1_28,stimulus_9_B,raw_data/wav/Fbhavya1.wav,130.05553,130.46,ATRA,Fbhavya1,C,I,ʈ,OTH,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_41,159.14,158.66,t,Mrajesh2,ATA
B,Mnirbhay1_41,stimulus_10_B,raw_data/wav/Mnirbhay1.wav,336.53384,337.01041,ATA,Mnirbhay1,C,I,t,OTH,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_29,84.02,83.63506,ʈ,Fsakshi2,ATRA
B,Mrajesh2_48,stimulus_11_B,raw_data/wav/Mrajesh2.wav,183.18347,183.68,ADA,Mrajesh2,C,I,d,OTH,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_48,183.57,183.25495,d,Fbhavya1,ADA
A,Mnirbhay2_30,stimulus_12_A,raw_data/wav/Mnirbhay2.wav,193.69,194.09835,ATRA,Mnirbhay2,C,I,ʈ,OTH,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_47,129.07,128.7406,d,Fsakshi2,ADA
