AB_Order,speaker_X,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,phone_X,language_X,triplet_id,distance_OTH,file_OTH,interval_OTH,item_OTH,language_OTH,offset_OTH,onset_OTH,phone_OTH,sex_OTH,speaker_OTH,word_OTH,distance_TGT,file_TGT,interval_TGT,item_TGT,language_TGT,offset_TGT,onset_TGT,phone_TGT,sex_TGT,speaker_TGT,word_TGT
OthTgt,Fbhavya,stimuli_raw/wav/Fbhavya1.wav,60.24,60.695809999999994,Fbhavya1_9,AGA,9,F,g,ENG,t_0750990,0.329100853115975,stimuli_raw/wav/Mnirbhay1.wav,38,Mnirbhay1_38,HIN,254.56,254.09,ɖʱ,M,Mnirbhay,ADRHA,0.268839172717251,stimuli_raw/wav/Mrajesh2.wav,7,Mrajesh2_7,ENG,27.3,26.89984,g,M,Mrajesh,AGA
TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,86.82,87.28907,FNiralee1_7,AGA,7,F,g,ENG,t_1045573,0.275274360507699,stimuli_raw/wav/Mrajesh1.wav,49,Mrajesh1_49,HIN,191.2513,190.81563,dʱ,M,Mrajesh,ADHA,0.229728924387957,stimuli_raw/wav/Mnirbhay1.wav,8,Mnirbhay1_8,ENG,47.11,46.7,g,M,Mnirbhay,AGA
OthTgt,Fbhavya,stimuli_raw/wav/Fbhavya2.wav,33.5,33.89,Fbhavya2_9,AGA,9,F,g,ENG,t_0004167,0.274384647743741,stimuli_raw/wav/Mnirbhay2.wav,49,Mnirbhay2_49,HIN,192.9594,192.53074,dʱ,M,Mnirbhay,ADHA,0.230420092906163,stimuli_raw/wav/Mrajesh1.wav,7,Mrajesh1_7,ENG,54.03,53.57,g,M,Mrajesh,AGA
TgtOth,Fbhavya,stimuli_raw/wav/Fbhavya1.wav,60.24,60.695809999999994,Fbhavya1_9,AGA,9,F,g,ENG,t_0006855,0.335014006972106,stimuli_raw/wav/Mnirbhay2.wav,66,Mnirbhay2_66,HIN,260.19,259.73,bʱ,M,Mnirbhay,ABHA,0.245520445212189,stimuli_raw/wav/Mrajesh1.wav,9,Mrajesh1_9,ENG,57.63011,57.22747,g,M,Mrajesh,AGA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,53.57,54.03,Mrajesh1_7,AGA,7,M,g,ENG,t_1171231,0.26378802941898,stimuli_raw/wav/Fsakshi2.wav,64,Fsakshi2_64,HIN,270.46,270.07,bʱ,F,Fsakshi,ABHA,0.244820149964293,stimuli_raw/wav/Fbhavya1.wav,8,Fbhavya1_8,ENG,58.61,58.22,g,F,Fbhavya,AGA
TgtOth,Fbhavya,stimuli_raw/wav/Fbhavya2.wav,31.39,31.77,Fbhavya2_8,AGA,8,F,g,ENG,t_0004310,0.281334302959417,stimuli_raw/wav/Mnirbhay2.wav,96,Mnirbhay2_96,HIN,384.78,384.3,ɣ,M,Mnirbhay,ARRA,0.256451491238073,stimuli_raw/wav/Mrajesh1.wav,7,Mrajesh1_7,ENG,54.03,53.57,g,M,Mrajesh,AGA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,28.58212,28.97,Mrajesh2_8,AGA,8,M,g,ENG,t_0295583,0.31804580152578,stimuli_raw/wav/FNiralee1.wav,96,FNiralee1_96,HIN,773.0997,772.46145,ɣ,F,FNiralee,ARRA,0.24673377545349,stimuli_raw/wav/Fsakshi2.wav,9,Fsakshi2_9,ENG,55.01,54.52,g,F,Fsakshi,AGA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,57.22747,57.630109999999995,Mrajesh1_9,AGA,9,M,g,ENG,t_0586467,0.332548769614992,stimuli_raw/wav/FNiralee1.wav,100,FNiralee1_100,HIN,837.96248,837.45387,x,F,FNiralee,ARHA,0.231996139665683,stimuli_raw/wav/Fbhavya2.wav,8,Fbhavya2_8,ENG,31.77,31.39,g,F,Fbhavya,AGA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,28.49,28.97,Mnirbhay2_7,AGA,7,M,g,ENG,t_0294343,0.302990369331138,stimuli_raw/wav/Fbhavya1.wav,100,Fbhavya1_100,HIN,632.9127,632.49827,x,F,Fbhavya,ARHA,0.241979025757636,stimuli_raw/wav/Fsakshi2.wav,8,Fsakshi2_8,ENG,52.78,52.38,g,F,Fsakshi,AGA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,44.81,45.27,Mnirbhay1_7,AGA,7,M,g,ENG,t_0130870,0.348898125650577,stimuli_raw/wav/Fsakshi1.wav,91,Fsakshi1_91,HIN,347.25,346.82911,ɽʱ,F,Fsakshi,ARTHA,0.219393407674806,stimuli_raw/wav/FNiralee2.wav,7,FNiralee2_7,ENG,26.96,26.4,g,F,FNiralee,AGA
OthTgt,Fbhavya,stimuli_raw/wav/Fbhavya1.wav,60.24,60.695809999999994,Fbhavya1_9,AGA,9,F,g,ENG,t_0006351,0.345460603861053,stimuli_raw/wav/Mnirbhay1.wav,101,Mnirbhay1_101,HIN,721.00309,720.39538,ɽʱ,M,Mnirbhay,ARTHA,0.265376795449618,stimuli_raw/wav/Mrajesh1.wav,8,Mrajesh1_8,ENG,55.77,55.35,g,M,Mrajesh,AGA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,55.35,55.77,Mrajesh1_8,AGA,8,M,g,ENG,t_0294857,0.307648275451253,stimuli_raw/wav/FNiralee2.wav,105,FNiralee2_105,HIN,401.84287,401.4192,ɽ,F,FNiralee,ARTA,0.249298595513087,stimuli_raw/wav/Fsakshi2.wav,9,Fsakshi2_9,ENG,55.01,54.52,g,F,Fsakshi,AGA
OthTgt,Fbhavya,stimuli_raw/wav/Fbhavya1.wav,56.22,56.618730000000006,Fbhavya1_7,AGA,7,F,g,ENG,t_0004441,0.29592512392962,stimuli_raw/wav/Mnirbhay2.wav,103,Mnirbhay2_103,HIN,417.87,417.44,ɽ,M,Mnirbhay,ARTA,0.244563755482394,stimuli_raw/wav/Mrajesh1.wav,7,Mrajesh1_7,ENG,54.03,53.57,g,M,Mrajesh,AGA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,34.74,35.22,Mnirbhay2_9,AGA,9,M,g,ENG,t_0875619,0.352221233948075,stimuli_raw/wav/Fsakshi2.wav,108,Fsakshi2_108,HIN,438.15,437.80022,ɳ,F,Fsakshi,ANRA,0.24013146721651701,stimuli_raw/wav/FNiralee1.wav,7,FNiralee1_7,ENG,87.28907,86.82,g,F,FNiralee,AGA
OthTgt,Fbhavya,stimuli_raw/wav/Fbhavya1.wav,56.22,56.618730000000006,Fbhavya1_7,AGA,7,F,g,ENG,t_0752680,0.372065257082787,stimuli_raw/wav/Mnirbhay1.wav,108,Mnirbhay1_108,HIN,764.31886,763.84005,ɳ,M,Mnirbhay,ANRA,0.226682300168425,stimuli_raw/wav/Mrajesh2.wav,8,Mrajesh2_8,ENG,28.97,28.58212,g,M,Mrajesh,AGA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,66.42,66.86,Mnirbhay1_12,AGHA,12,M,ɡʱ,HIN,t_0886713,0.27421829427535,stimuli_raw/wav/Fsakshi1.wav,6,Fsakshi1_6,ENG,39.94,39.43,kʰ,F,Fsakshi,AKHA,0.257349090514886,stimuli_raw/wav/FNiralee1.wav,12,FNiralee1_12,HIN,108.69767,108.19187,ɡʱ,F,FNiralee,AGHA
OthTgt,Fbhavya,stimuli_raw/wav/Fbhavya1.wav,74.46,74.87529,Fbhavya1_10,AGHA,10,F,ɡʱ,HIN,t_0466138,0.293014364387263,stimuli_raw/wav/Mrajesh1.wav,6,Mrajesh1_6,ENG,39.21422,38.74864,kʰ,M,Mrajesh,AKHA,0.23230372430742,stimuli_raw/wav/Mnirbhay2.wav,12,Mnirbhay2_12,HIN,46.81,46.33,ɡʱ,M,Mnirbhay,AGHA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,73.69,74.05,Mrajesh1_12,AGHA,12,M,ɡʱ,HIN,t_1176273,0.316572025065287,stimuli_raw/wav/FNiralee2.wav,8,FNiralee2_8,ENG,29.3642,28.74,g,F,FNiralee,AGA,0.239209937379622,stimuli_raw/wav/Fbhavya1.wav,11,Fbhavya1_11,HIN,76.92138,76.48,ɡʱ,F,Fbhavya,AGHA
