#file onset offset #item word interval
stimuli_raw/wav/FNiralee2.wav 213.11139 213.62000 FNiralee2_63 ABA 63
stimuli_raw/wav/FNiralee2.wav 229.61735 230.12498 FNiralee2_64 ABHA 64
stimuli_raw/wav/FNiralee2.wav 231.85597 232.33000 FNiralee2_65 ABHA 65
stimuli_raw/wav/FNiralee2.wav 234.02759 234.52000 FNiralee2_66 ABH 66
stimuli_raw/wav/FNiralee2.wav 238.07000 238.51000 FNiralee2_67 AJA 67
stimuli_raw/wav/FNiralee2.wav 240.37279 240.82000 FNiralee2_68 AJA 68
stimuli_raw/wav/FNiralee2.wav 242.71000 243.19000 FNiralee2_69 AJA 69
stimuli_raw/wav/FNiralee2.wav 293.59000 294.14000 FNiralee2_70 AMA 70
stimuli_raw/wav/FNiralee2.wav 296.21000 296.78000 FNiralee2_71 AMA 71
stimuli_raw/wav/FNiralee2.wav 298.81000 299.43000 FNiralee2_72 AMA 72
stimuli_raw/wav/FNiralee2.wav 302.62000 303.08000 FNiralee2_73 ARA 73
stimuli_raw/wav/FNiralee2.wav 305.14630 305.53542 FNiralee2_74 ARA 74
stimuli_raw/wav/FNiralee2.wav 307.58000 308.06000 FNiralee2_75 ARA 75
stimuli_raw/wav/FNiralee2.wav 311.10414 311.56919 FNiralee2_76 ALA 76
stimuli_raw/wav/FNiralee2.wav 313.51622 313.95027 FNiralee2_77 ALA 77
stimuli_raw/wav/FNiralee2.wav 316.15774 316.62899 FNiralee2_78 ALA 78
stimuli_raw/wav/FNiralee2.wav 319.77000 320.22000 FNiralee2_79 AVLA 79
stimuli_raw/wav/FNiralee2.wav 322.11000 322.55000 FNiralee2_80 AVLA 80
stimuli_raw/wav/FNiralee2.wav 324.53000 325.01000 FNiralee2_81 AVLA 81
stimuli_raw/wav/FNiralee2.wav 330.92000 331.40632 FNiralee2_82 AXA 82
stimuli_raw/wav/FNiralee2.wav 333.35000 333.84978 FNiralee2_83 AXA 83
stimuli_raw/wav/FNiralee2.wav 335.74000 336.21000 FNiralee2_84 AXA 84
stimuli_raw/wav/FNiralee2.wav 339.06848 339.59859 FNiralee2_85 AXRA 85
stimuli_raw/wav/FNiralee2.wav 341.35201 341.88794 FNiralee2_86 AXRA 86
stimuli_raw/wav/FNiralee2.wav 343.79865 344.32293 FNiralee2_87 AXRA 87
stimuli_raw/wav/FNiralee2.wav 347.60000 348.08424 FNiralee2_88 ASA 88
stimuli_raw/wav/FNiralee2.wav 350.17028 350.62834 FNiralee2_89 ASA 89
stimuli_raw/wav/FNiralee2.wav 352.67105 353.17863 FNiralee2_90 ASA 90
stimuli_raw/wav/FNiralee2.wav 357.27000 357.75000 FNiralee2_91 AHHA 91
stimuli_raw/wav/FNiralee2.wav 359.61024 360.10000 FNiralee2_92 AHHA 92
stimuli_raw/wav/FNiralee2.wav 362.16167 362.66000 FNiralee2_93 AHHA 93
stimuli_raw/wav/FNiralee2.wav 365.78367 366.29000 FNiralee2_94 ARRA 94
stimuli_raw/wav/FNiralee2.wav 368.24321 368.75826 FNiralee2_95 ARRA 95
stimuli_raw/wav/FNiralee2.wav 370.59858 371.11363 FNiralee2_96 ARRA 96
stimuli_raw/wav/FNiralee2.wav 374.84859 375.36778 FNiralee2_97 ARHA 97
stimuli_raw/wav/FNiralee2.wav 377.17067 377.68896 FNiralee2_98 ARHA 98
stimuli_raw/wav/FNiralee2.wav 379.54083 380.12518 FNiralee2_99 ARHA 99
stimuli_raw/wav/FNiralee2.wav 385.26014 385.73313 FNiralee2_100 ARTHA 100
stimuli_raw/wav/FNiralee2.wav 387.58306 388.05287 FNiralee2_101 ARTHA 101
stimuli_raw/wav/FNiralee2.wav 389.88054 390.36287 FNiralee2_102 ARTHA 102
stimuli_raw/wav/FNiralee2.wav 396.54195 396.95617 FNiralee2_103 ARTA 103
stimuli_raw/wav/FNiralee2.wav 398.96571 399.37433 FNiralee2_104 ARTA 104
stimuli_raw/wav/FNiralee2.wav 401.41920 401.84287 FNiralee2_105 ARTA 105
stimuli_raw/wav/FNiralee2.wav 404.86421 405.25726 FNiralee2_106 ANRA 106
stimuli_raw/wav/FNiralee2.wav 406.98305 407.46444 FNiralee2_107 ANRA 107
stimuli_raw/wav/FNiralee2.wav 409.34166 409.81447 FNiralee2_108 ANRA 108
stimuli_raw/wav/Fsakshi2.wav 30.49000 30.91000 Fsakshi2_1 AKA 1
stimuli_raw/wav/Fsakshi2.wav 32.49000 32.87000 Fsakshi2_2 AKA 2
stimuli_raw/wav/Fsakshi2.wav 34.69000 35.12000 Fsakshi2_3 AKA 3
stimuli_raw/wav/Fsakshi2.wav 38.65000 39.07000 Fsakshi2_4 AKHA 4
stimuli_raw/wav/Fsakshi2.wav 40.94000 41.40000 Fsakshi2_5 AKHA 5
stimuli_raw/wav/Fsakshi2.wav 43.29000 43.74000 Fsakshi2_6 AKHA 6
stimuli_raw/wav/Fsakshi2.wav 50.35000 50.78000 Fsakshi2_7 AGA 7
stimuli_raw/wav/Fsakshi2.wav 52.38000 52.78000 Fsakshi2_8 AGA 8
stimuli_raw/wav/Fsakshi2.wav 54.52000 55.01000 Fsakshi2_9 AGA 9
stimuli_raw/wav/Fsakshi2.wav 58.97000 59.40000 Fsakshi2_10 AGHA 10
stimuli_raw/wav/Fsakshi2.wav 61.02000 61.46000 Fsakshi2_11 AGHA 11
stimuli_raw/wav/Fsakshi2.wav 63.18000 63.60000 Fsakshi2_12 AGHA 12
stimuli_raw/wav/Fsakshi2.wav 70.81894 71.11000 Fsakshi2_13 ATXA 13
stimuli_raw/wav/Fsakshi2.wav 72.80000 73.13000 Fsakshi2_14 ATXA 14
stimuli_raw/wav/Fsakshi2.wav 74.96000 75.24000 Fsakshi2_15 ATXA 15
stimuli_raw/wav/Fsakshi2.wav 83.87406 84.29000 Fsakshi2_16 ATXHA 16
