#file,onset,offset,#item,word,interval,speaker,sex,phone,language
stimuli_raw/wav/FNiralee2.wav,190.850000,191.324780,FNiralee2_55,APA,55,FNiralee,F,p,NA
stimuli_raw/wav/FNiralee2.wav,193.170000,193.670000,FNiralee2_56,APA,56,FNiralee,F,p,NA
stimuli_raw/wav/FNiralee2.wav,195.580000,196.060000,FNiralee2_57,APA,57,FNiralee,F,p,NA
stimuli_raw/wav/FNiralee2.wav,199.150000,199.719590,FNiralee2_58,APHA,58,FNiralee,F,pʰ,NA
stimuli_raw/wav/FNiralee2.wav,201.593880,202.080000,FNiralee2_59,APHA,59,FNiralee,F,pʰ,NA
stimuli_raw/wav/FNiralee2.wav,203.980400,204.546320,FNiralee2_60,APHA,60,FNiralee,F,pʰ,NA
stimuli_raw/wav/FNiralee2.wav,208.521120,209.033070,FNiralee2_61,ABA,61,FNiralee,F,b,ENG
stimuli_raw/wav/FNiralee2.wav,210.862270,211.320000,FNiralee2_62,ABA,62,FNiralee,F,b,ENG
stimuli_raw/wav/FNiralee2.wav,213.111390,213.620000,FNiralee2_63,ABA,63,FNiralee,F,b,ENG
stimuli_raw/wav/FNiralee2.wav,229.617350,230.124980,FNiralee2_64,ABHA,64,FNiralee,F,bʱ,HIN
stimuli_raw/wav/FNiralee2.wav,231.855970,232.330000,FNiralee2_65,ABHA,65,FNiralee,F,bʱ,HIN
stimuli_raw/wav/FNiralee2.wav,234.027590,234.520000,FNiralee2_66,ABH,66,FNiralee,F,NA,NA
stimuli_raw/wav/FNiralee2.wav,238.070000,238.510000,FNiralee2_67,AJA,67,FNiralee,F,j,ENG
stimuli_raw/wav/FNiralee2.wav,240.372790,240.820000,FNiralee2_68,AJA,68,FNiralee,F,j,ENG
stimuli_raw/wav/FNiralee2.wav,242.710000,243.190000,FNiralee2_69,AJA,69,FNiralee,F,j,ENG
stimuli_raw/wav/FNiralee2.wav,293.590000,294.140000,FNiralee2_70,AMA,70,FNiralee,F,m,ENG
stimuli_raw/wav/FNiralee2.wav,296.210000,296.780000,FNiralee2_71,AMA,71,FNiralee,F,m,ENG
stimuli_raw/wav/FNiralee2.wav,298.810000,299.430000,FNiralee2_72,AMA,72,FNiralee,F,m,ENG
stimuli_raw/wav/FNiralee2.wav,302.620000,303.080000,FNiralee2_73,ARA,73,FNiralee,F,ɾ,ENG
stimuli_raw/wav/FNiralee2.wav,305.146300,305.535420,FNiralee2_74,ARA,74,FNiralee,F,ɾ,ENG
stimuli_raw/wav/FNiralee2.wav,307.580000,308.060000,FNiralee2_75,ARA,75,FNiralee,F,ɾ,ENG
stimuli_raw/wav/FNiralee2.wav,311.104140,311.569190,FNiralee2_76,ALA,76,FNiralee,F,l,ENG
stimuli_raw/wav/FNiralee2.wav,313.516220,313.950270,FNiralee2_77,ALA,77,FNiralee,F,l,ENG
stimuli_raw/wav/FNiralee2.wav,316.157740,316.628990,FNiralee2_78,ALA,78,FNiralee,F,l,ENG
stimuli_raw/wav/FNiralee2.wav,319.770000,320.220000,FNiralee2_79,AVLA,79,FNiralee,F,ʋ,NA
stimuli_raw/wav/FNiralee2.wav,322.110000,322.550000,FNiralee2_80,AVLA,80,FNiralee,F,ʋ,NA
stimuli_raw/wav/FNiralee2.wav,324.530000,325.010000,FNiralee2_81,AVLA,81,FNiralee,F,ʋ,NA
stimuli_raw/wav/FNiralee2.wav,330.920000,331.406320,FNiralee2_82,AXA,82,FNiralee,F,ʃ,ENG
stimuli_raw/wav/FNiralee2.wav,333.350000,333.849780,FNiralee2_83,AXA,83,FNiralee,F,ʃ,ENG
stimuli_raw/wav/FNiralee2.wav,335.740000,336.210000,FNiralee2_84,AXA,84,FNiralee,F,ʃ,ENG
stimuli_raw/wav/FNiralee2.wav,339.068480,339.598590,FNiralee2_85,AXRA,85,FNiralee,F,ʂ,NA
stimuli_raw/wav/FNiralee2.wav,341.352010,341.887940,FNiralee2_86,AXRA,86,FNiralee,F,ʂ,NA
stimuli_raw/wav/FNiralee2.wav,343.798650,344.322930,FNiralee2_87,AXRA,87,FNiralee,F,ʂ,NA
stimuli_raw/wav/FNiralee2.wav,347.600000,348.084240,FNiralee2_88,ASA,88,FNiralee,F,s,ENG
stimuli_raw/wav/FNiralee2.wav,350.170280,350.628340,FNiralee2_89,ASA,89,FNiralee,F,s,ENG
stimuli_raw/wav/FNiralee2.wav,352.671050,353.178630,FNiralee2_90,ASA,90,FNiralee,F,s,ENG
stimuli_raw/wav/FNiralee2.wav,357.270000,357.750000,FNiralee2_91,AHHA,91,FNiralee,F,ɦ,ENG
stimuli_raw/wav/FNiralee2.wav,359.610240,360.100000,FNiralee2_92,AHHA,92,FNiralee,F,ɦ,ENG
stimuli_raw/wav/FNiralee2.wav,362.161670,362.660000,FNiralee2_93,AHHA,93,FNiralee,F,ɦ,ENG
stimuli_raw/wav/FNiralee2.wav,365.783670,366.290000,FNiralee2_94,ARRA,94,FNiralee,F,ɣ,HIN
stimuli_raw/wav/FNiralee2.wav,368.243210,368.758260,FNiralee2_95,ARRA,95,FNiralee,F,ɣ,HIN
stimuli_raw/wav/FNiralee2.wav,370.598580,371.113630,FNiralee2_96,ARRA,96,FNiralee,F,ɣ,HIN
stimuli_raw/wav/FNiralee2.wav,374.848590,375.367780,FNiralee2_97,ARHA,97,FNiralee,F,x,HIN
stimuli_raw/wav/FNiralee2.wav,377.170670,377.688960,FNiralee2_98,ARHA,98,FNiralee,F,x,HIN
stimuli_raw/wav/FNiralee2.wav,379.540830,380.125180,FNiralee2_99,ARHA,99,FNiralee,F,x,HIN
stimuli_raw/wav/FNiralee2.wav,385.260140,385.733130,FNiralee2_100,ARTHA,100,FNiralee,F,ɽʱ,HIN
stimuli_raw/wav/FNiralee2.wav,387.583060,388.052870,FNiralee2_101,ARTHA,101,FNiralee,F,ɽʱ,HIN
stimuli_raw/wav/FNiralee2.wav,389.880540,390.362870,FNiralee2_102,ARTHA,102,FNiralee,F,ɽʱ,HIN
stimuli_raw/wav/FNiralee2.wav,396.541950,396.956170,FNiralee2_103,ARTA,103,FNiralee,F,ɽ,HIN
stimuli_raw/wav/FNiralee2.wav,398.965710,399.374330,FNiralee2_104,ARTA,104,FNiralee,F,ɽ,HIN
stimuli_raw/wav/FNiralee2.wav,401.419200,401.842870,FNiralee2_105,ARTA,105,FNiralee,F,ɽ,HIN
stimuli_raw/wav/FNiralee2.wav,404.864210,405.257260,FNiralee2_106,ANRA,106,FNiralee,F,ɳ,HIN
stimuli_raw/wav/FNiralee2.wav,406.983050,407.464440,FNiralee2_107,ANRA,107,FNiralee,F,ɳ,HIN
