m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
,-0.01,0.01,0,dinst10,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_0.csv,5221.019038457889
Econ+Glob+Loc,0,0.01,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0_loc_0.01_glob_0.csv,9400.375874796184
Econ+Glob,0,0.01,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_0.csv,2878.2405118264724
Econ+Loc,0,0.01,0,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_0.csv,4317.849338799017
Glob+Loc,0,0.01,0,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_0.csv,4093.404178810306
Econ,0,0.01,0,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_0.csv,3853.087158174487
Glob,0,0.01,0,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_0.csv,8765.681311222492
Loc,0,0.01,0,dinst10,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_0.csv,1561.1624660911039
,0,0.01,0,dinst10,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst10/econ_0_loc_0.01_glob_0.csv,333.5518350559287
Econ+Glob+Loc,0.01,0.01,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_0.csv,5989.077419605106
Econ+Glob,0.01,0.01,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_0.csv,4286.716378303012
Econ+Loc,0.01,0.01,0,dinst10,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_0.csv,6709.060640784679
Glob+Loc,0.01,0.01,0,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_0.csv,6844.86756440904
Econ,0.01,0.01,0,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_0.csv,7476.638258435763
Glob,0.01,0.01,0,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_0.csv,6811.230455772253
Loc,0.01,0.01,0,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_0.csv,231.07738698087633
,0.01,0.01,0,dinst10,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_0.csv,7470.584186834283
Econ+Glob+Loc,-0.01,-0.01,0.01,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.01.csv,6915.685372783104
Econ+Glob,-0.01,-0.01,0.01,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.01.csv,8217.326043920359
Econ+Loc,-0.01,-0.01,0.01,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.01.csv,9251.014932247112
Glob+Loc,-0.01,-0.01,0.01,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.01.csv,3958.3591102892533
Econ,-0.01,-0.01,0.01,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.01.csv,9967.251219065161
Glob,-0.01,-0.01,0.01,dinst10,hindi,Econ+Loc,TRUE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.01.csv,8473.213649197947
Loc,-0.01,-0.01,0.01,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.01.csv,6281.708125936566
,-0.01,-0.01,0.01,dinst10,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.01.csv,3400.104392103618
