_d_experiment,_d_id,_d_coef_econ,_d_coef_loc,_d_coef_glob,_m_pos_vars,_m_neg_vars,_m_stanfile,seed,is_correct_model
hk,dinst1,-1,0,0,Glob+Loc,Econ,stan_models/master_model.stan,9040.960205171723,FALSE
hk,dinst1,-1,0,0,Econ,Glob+Loc,stan_models/master_model.stan,5987.564546581125,FALSE
hk,dinst1,-1,0,0,Glob,Econ+Loc,stan_models/master_model.stan,5002.128876275616,FALSE
hk,dinst1,-1,0,0,Loc,Econ+Glob,stan_models/master_model.stan,987.5479819690809,FALSE
hk,dinst1,-1,0,0,,Econ+Glob+Loc,stan_models/master_neg.stan,8921.787558363518,TRUE
hk,dinst1,0,0,0,Econ+Glob+Loc,,stan_models/master_pos.stan,7592.100628729444,FALSE
hk,dinst1,0,0,0,Econ+Glob,Loc,stan_models/master_model.stan,7525.059854380554,FALSE
hk,dinst1,0,0,0,Econ+Loc,Glob,stan_models/master_model.stan,8887.80329437484,FALSE
hk,dinst1,0,0,0,Glob+Loc,Econ,stan_models/master_model.stan,5810.634644857841,FALSE
hk,dinst1,0,0,0,Econ,Glob+Loc,stan_models/master_model.stan,7257.980489216978,FALSE
hk,dinst1,0,0,0,Glob,Econ+Loc,stan_models/master_model.stan,5201.289783340879,FALSE
hk,dinst1,0,0,0,Loc,Econ+Glob,stan_models/master_model.stan,1964.3484408101067,FALSE
hk,dinst1,0,0,0,,Econ+Glob+Loc,stan_models/master_neg.stan,6465.703526183264,TRUE
hk,dinst1,1,0,0,Econ+Glob+Loc,,stan_models/master_pos.stan,5847.752980159363,FALSE
hk,dinst1,1,0,0,Econ+Glob,Loc,stan_models/master_model.stan,3089.4957542901393,FALSE
