m_pos_vars_CORRECT,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,m_stanfile_INCORRECT,seed.y,elpd_diff,se_diff
,0,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361240845,Econ+Loc,Glob,stan_models/master_model.stan,5438.248108481988,-4.197490837171701,3.1298988571960185
,0,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361240845,Glob+Loc,Econ,stan_models/master_model.stan,9649.132045849692,-1.5052169023963504,2.019085808589905
,0,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361240845,Econ,Glob+Loc,stan_models/master_model.stan,893.7799099124968,-3.651528690672343,2.760421533144701
,0,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361240845,Glob,Econ+Loc,stan_models/master_model.stan,5585.16957677505,-1.849909870270242,1.576042989997494
,0,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361240845,Loc,Econ+Glob,stan_models/master_model.stan,8911.33793014125,-0.28223095688581523,1.2477505068888544
,0,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914182262,Econ+Glob+Loc,,stan_models/master_model.stan,4706.191835152917,-6.609189577650666,3.1379486598129134
,0,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914182262,Econ+Glob,Loc,stan_models/master_model.stan,7317.3887906526215,-4.495764990285073,2.6331287259736773
,0,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914182262,Econ+Loc,Glob,stan_models/master_model.stan,8824.741295597516,-4.334897736662313,2.5216831614217528
,0,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914182262,Glob+Loc,Econ,stan_models/master_model.stan,2974.2687126607634,-5.970796696530993,3.044209918492461
,0,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914182262,Econ,Glob+Loc,stan_models/master_model.stan,1122.1704678814858,-1.9674994141862072,1.740150171002511
,0,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914182262,Glob,Econ+Loc,stan_models/master_model.stan,4707.267407486914,-4.142209874943436,2.6358273875102807
,0,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914182262,Loc,Econ+Glob,stan_models/master_model.stan,1719.4959998754784,-2.189635312677888,1.582035267254601
Glob,0,-1,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130650642095,Econ+Glob+Loc,,stan_models/master_model.stan,1842.6339427090716,-15.986496648306202,6.056198827823438
Glob,0,-1,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130650642095,Econ+Glob,Loc,stan_models/master_model.stan,1168.6333158172201,-15.685419356267007,5.933158133644561
Glob,0,-1,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130650642095,Econ+Loc,Glob,stan_models/master_model.stan,4396.189753636718,-17.34348344024537,6.15686239354811
Glob,0,-1,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130650642095,Glob+Loc,Econ,stan_models/master_model.stan,343.6367682197597,-0.6404082985475252,1.7128401258782813
Glob,0,-1,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130650642095,Econ,Glob+Loc,stan_models/master_model.stan,232.2934911500197,-17.087016246372933,6.031943553804651
Glob,0,-1,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130650642095,Loc,Econ+Glob,stan_models/master_model.stan,9888.288521792972,-10.666200927399185,4.548568036928371
Glob,0,-1,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130650642095,,Econ+Glob+Loc,stan_models/master_model.stan,9865.936112068594,-9.807008316398171,4.173413105198914
,0,0,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326350661,Econ+Glob+Loc,,stan_models/master_model.stan,8794.62737715221,-12.854638372770077,4.7051023537038805
,0,0,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326350661,Econ+Glob,Loc,stan_models/master_model.stan,3544.4989320556633,-10.017012355702983,4.14251442909461
,0,0,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326350661,Econ+Loc,Glob,stan_models/master_model.stan,7718.110273636645,-12.085552489520014,4.627993428173779
,0,0,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326350661,Glob+Loc,Econ,stan_models/master_model.stan,3593.10043687257,-7.720689934074427,3.487605819538511
,0,0,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326350661,Econ,Glob+Loc,stan_models/master_model.stan,5177.0100196800195,-9.198172207025811,4.010743957045187
,0,0,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326350661,Glob,Econ+Loc,stan_models/master_model.stan,5928.0188166324515,-5.657671839607216,2.9787764086550284
,0,0,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326350661,Loc,Econ+Glob,stan_models/master_model.stan,1426.9869237495586,-1.7161573009563664,1.7262691576318259
,0,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182326168,Econ+Glob+Loc,,stan_models/master_model.stan,6595.357197614387,-5.615309988413761,3.112020279743769
,0,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182326168,Econ+Glob,Loc,stan_models/master_model.stan,1213.1336000312585,-3.5266999418464593,2.6749699525045485
,0,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182326168,Econ+Loc,Glob,stan_models/master_model.stan,1833.4597589240875,-2.656728908854568,2.1964799624438878
,0,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182326168,Glob+Loc,Econ,stan_models/master_model.stan,2225.360638958169,-6.203175823996105,3.1542164479707777
,0,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182326168,Econ,Glob+Loc,stan_models/master_model.stan,6318.932553880382,-0.49795679425069217,1.3979297289079473
,0,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182326168,Glob,Econ+Loc,stan_models/master_model.stan,6929.86139477347,-4.450991512738733,2.8682094762351946
,0,0,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182326168,Loc,Econ+Glob,stan_models/master_model.stan,8994.707144604763,-2.1189814275888814,1.5962892853786768
Glob,0,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.3969155219384,Econ+Glob+Loc,,stan_models/master_model.stan,3641.126656076871,-9.794374036729934,5.023916300958
Glob,0,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.3969155219384,Econ+Glob,Loc,stan_models/master_model.stan,7343.655395186739,-10.671427870652941,4.923366818605382
Glob,0,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.3969155219384,Econ+Loc,Glob,stan_models/master_model.stan,4968.322186101228,-10.943472550473645,5.098724217969219
