m_pos_vars_CORRECT,d_coef_econ,econ_sign,d_coef_loc,loc_sign,d_coef_glob,glon_sign,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,INCOR_MOD_econ,INCOR_MOD_glob,INCOR_MOD_loc,econ_match,loc_match,glob_match,NUM_MATCHES,m_stanfile_INCORRECT,seed.y,elpd_diff,se_diff,num_zeroes
NA,0,neg,-1,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914,Econ+Glob,Loc,pos,pos,neg,NO,MATCH,NO,1,stan_models/master_model.stan,7317.388791,-4.49576499,2.633128726,two
NA,0,neg,-1,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914,Econ+Loc,Glob,pos,neg,pos,NO,NO,MATCH,1,stan_models/master_model.stan,8824.741296,-4.334897737,2.521683161,two
NA,0,neg,-1,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914,Glob+Loc,Econ,neg,pos,pos,MATCH,NO,NO,1,stan_models/master_model.stan,2974.268713,-5.970796697,3.044209918,two
NA,0,neg,-1,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914,Econ,Glob+Loc,pos,neg,neg,NO,MATCH,MATCH,2,stan_models/master_model.stan,1122.170468,-1.967499414,1.740150171,two
NA,0,neg,-1,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914,Glob,Econ+Loc,neg,pos,neg,MATCH,MATCH,NO,2,stan_models/master_model.stan,4707.267407,-4.142209875,2.635827388,two
NA,0,neg,-1,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914,Loc,Econ+Glob,neg,neg,pos,MATCH,NO,MATCH,2,stan_models/master_model.stan,1719.496,-2.189635313,1.582035267,two
Glob,0,neg,-1,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130651,Econ+Glob+Loc,NA,pos,pos,pos,NO,NO,MATCH,1,stan_models/master_model.stan,1842.633943,-15.98649665,6.056198828,one
Glob,0,neg,-1,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130651,Econ+Glob,Loc,pos,pos,neg,NO,MATCH,MATCH,2,stan_models/master_model.stan,1168.633316,-15.68541936,5.933158134,one
Glob,0,neg,-1,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130651,Econ+Loc,Glob,pos,neg,pos,NO,NO,NO,0,stan_models/master_model.stan,4396.189754,-17.34348344,6.156862394,one
Glob,0,neg,-1,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130651,Glob+Loc,Econ,neg,pos,pos,MATCH,NO,MATCH,2,stan_models/master_model.stan,343.6367682,-0.6404082985,1.712840126,one
