m_pos_vars_CORRECT,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,csv_filename.x,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,m_stanfile_INCORRECT,csv_filename.y,seed.y,elpd_diff,se_diff,elpd_over_se
Glob,0,0,1,dinst2,hindi,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,7376.52044942975,Econ+Glob+Loc,NA,stan_models/master_pos.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,425.2344653378241,2.318303100582826,3.0605611235881836,0.7574764910641161
Glob,0,0,1,dinst2,hindi,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,7376.52044942975,Econ+Glob,Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,2524.2114551006816,3.3996842453890253,3.0017950557127944,1.1325504180969976
Glob,0,0,1,dinst2,hindi,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,7376.52044942975,Econ+Loc,Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,3899.0151451677084,4.852278182981593,3.6075812872375717,1.3450225501909954
Glob,0,0,1,dinst2,hindi,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,7376.52044942975,Glob+Loc,Econ,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,1138.1430433208589,0.35340912283330894,1.7991729735267727,0.19642865251613342
Glob,0,0,1,dinst2,hindi,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,7376.52044942975,Econ,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,4629.1708257663995,6.226635389783333,3.54868844718736,1.754630050637011
Glob,0,0,1,dinst2,hindi,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,7376.52044942975,Loc,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,6497.39880492189,4.967086302658593,3.1730307526263895,1.5654075519271988
Glob,0,0,1,dinst2,hindi,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,7376.52044942975,NA,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,4910.760282170493,6.3679714202693045,3.1902314678043084,1.9960844485845695
Loc,0,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,3708.847828561673,Econ+Glob+Loc,NA,stan_models/master_pos.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,1979.48848315957,-5.407554129134686,3.214156426315233,-1.6824178452739478
Loc,0,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,3708.847828561673,Econ+Glob,Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,9598.80466557038,-3.0879156303498227,2.6706451852847275,-1.1562433105544152
Loc,0,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,3708.847828561673,Econ+Loc,Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,9426.10537878098,-7.219213926962169,3.8832632556132256,-1.859058593703853
Loc,0,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,3708.847828561673,Glob+Loc,Econ,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,4808.659908962436,-0.9548818747855901,1.2893958621258534,-0.7405653320550112
