#file onset offset #item word
raw_data/wav/Fsakshi2.wav 180.0 180.41 Fsakshi2_41 ATA
raw_data/wav/Fsakshi2.wav 182.2 182.62 Fsakshi2_42 ATA
raw_data/wav/Fsakshi2.wav 190.42 190.85 Fsakshi2_43 ATHA
raw_data/wav/Fsakshi2.wav 192.55 192.96 Fsakshi2_44 ATHA
raw_data/wav/Fsakshi2.wav 194.84475 195.17 Fsakshi2_45 ATHA
raw_data/wav/Fsakshi2.wav 200.94355 201.22 Fsakshi2_46 ADA
raw_data/wav/Fsakshi2.wav 203.00796 203.28 Fsakshi2_47 ADA
raw_data/wav/Fsakshi2.wav 205.24572 205.56 Fsakshi2_48 ADA
raw_data/wav/Fsakshi2.wav 212.33605 212.66 Fsakshi2_49 ADHA
raw_data/wav/Fsakshi2.wav 214.45848 214.73746 Fsakshi2_50 ADHA
raw_data/wav/Fsakshi2.wav 216.68 217.12 Fsakshi2_51 ADHA
raw_data/wav/Fsakshi2.wav 224.58 224.96 Fsakshi2_52 ANA
raw_data/wav/Fsakshi2.wav 226.8 227.19 Fsakshi2_53 ANA
raw_data/wav/Fsakshi2.wav 229.07 229.46 Fsakshi2_54 ANA
raw_data/wav/Fsakshi2.wav 234.28 234.7 Fsakshi2_55 APA
raw_data/wav/Fsakshi2.wav 236.86 237.26 Fsakshi2_56 APA
raw_data/wav/Fsakshi2.wav 239.4 239.79 Fsakshi2_57 APA
raw_data/wav/Fsakshi2.wav 247.20264 247.56 Fsakshi2_58 APHA
raw_data/wav/Fsakshi2.wav 249.29 249.73 Fsakshi2_59 APHA
raw_data/wav/Fsakshi2.wav 251.64 252.02 Fsakshi2_60 APHA
raw_data/wav/Fsakshi2.wav 258.28 258.67 Fsakshi2_61 ABA
raw_data/wav/Fsakshi2.wav 260.76 261.18533 Fsakshi2_62 ABA
raw_data/wav/Fsakshi2.wav 264.0 264.37 Fsakshi2_63 ABA
raw_data/wav/Fsakshi2.wav 270.07 270.46 Fsakshi2_64 ABHA
raw_data/wav/Fsakshi2.wav 272.14 272.59 Fsakshi2_65 ABHA
raw_data/wav/Fsakshi2.wav 274.39 274.86 Fsakshi2_66 ABHA
raw_data/wav/Fsakshi2.wav 282.11385 282.46 Fsakshi2_67 AMA
raw_data/wav/Fsakshi2.wav 284.3 284.72 Fsakshi2_68 AMA
raw_data/wav/Fsakshi2.wav 286.672 287.06 Fsakshi2_69 AMA
raw_data/wav/Fsakshi2.wav 293.87668 294.2 Fsakshi2_70 AJA
raw_data/wav/Fsakshi2.wav 295.95 296.39 Fsakshi2_71 AJA
raw_data/wav/Fsakshi2.wav 298.27 298.63 Fsakshi2_72 AJA
raw_data/wav/Fsakshi2.wav 305.22 305.62 Fsakshi2_73 ARA
raw_data/wav/Fsakshi2.wav 307.76 308.17 Fsakshi2_74 ARA
raw_data/wav/Fsakshi2.wav 311.18513 311.49 Fsakshi2_75 ARA
raw_data/wav/Fsakshi2.wav 317.67189 318.02 Fsakshi2_76 ALA
raw_data/wav/Fsakshi2.wav 320.07887 320.38 Fsakshi2_77 ALA
raw_data/wav/Fsakshi2.wav 322.30031 322.62 Fsakshi2_78 ALA
raw_data/wav/Fsakshi2.wav 329.24457 329.58 Fsakshi2_79 AVLA
raw_data/wav/Fsakshi2.wav 331.57769 331.9 Fsakshi2_80 AVLA
raw_data/wav/Fsakshi2.wav 333.7 334.1 Fsakshi2_81 AVLA
raw_data/wav/Fsakshi2.wav 339.73641 340.10553 Fsakshi2_82 AXA
