CORR_ANS,item_TGT,item_OTH,item_X,tripletid,file_TGT,onset_TGT,offset_TGT,word_TGT,speaker_TGT,CV_TGT,context_TGT,phone_TGT,file_OTH,onset_OTH,offset_OTH,word_OTH,speaker_OTH,CV_OTH,context_OTH,phone_OTH,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X
A,ewan_10,ewan_28,amelia_vowels_11,stimulus67_A,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,ewan.wav,81.0625,81.7525,HUHDAH,ewan,V,A,ʌ,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ
B,ewan_10,ewan_2,amelia_vowels_11,stimulus68_B,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ
B,amelia_vowels_11,amelia_vowels_25,ewan_10,stimulus69_B,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ
B,amelia_vowels_30,amelia_vowels_15,ewan_29,stimulus70_B,amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ
A,ewan_29,ewan_14,amelia_vowels_30,stimulus71_A,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ
A,amelia_vowels_11,amelia_vowels_41,ewan_10,stimulus72_A,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ
B,amelia_vowels_15,amelia_vowels_48,ewan_14,stimulus73_B,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ
B,ewan_46,ewan_14,amelia_vowels_48,stimulus74_B,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u
A,ewan_43,ewan_10,amelia_vowels_41,stimulus75_A,ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u
A,ewan_21,ewan_37,amelia_vowels_22,stimulus76_A,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i
B,amelia_vowels_22,amelia_vowels_39,ewan_21,stimulus77_B,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i
B,ewan_34,ewan_19,amelia_vowels_33,stimulus78_B,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ
A,ewan_14,ewan_8,amelia_vowels_15,stimulus79_A,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ
A,amelia_vowels_33,amelia_vowels_17,ewan_34,stimulus80_A,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ
A,ewan_21,ewan_29,amelia_vowels_22,stimulus81_A,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i
B,amelia_vowels_22,amelia_vowels_30,ewan_21,stimulus82_B,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,amelia_vowels.wav,79.21868,79.88909,HUHDI,amelia,V,I,ʌ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i
B,amelia_vowels_25,amelia_vowels_17,ewan_28,stimulus83_B,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,ewan.wav,81.0625,81.7525,HUHDAH,ewan,V,A,ʌ
A,ewan_28,ewan_19,amelia_vowels_25,stimulus84_A,ewan.wav,81.0625,81.7525,HUHDAH,ewan,V,A,ʌ,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ
A,ewan_19,ewan_43,amelia_vowels_17,stimulus85_A,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,ewan.wav,126.2825,127.0125,WHODAH,ewan,V,A,u,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i
B,amelia_vowels_17,amelia_vowels_41,ewan_19,stimulus86_B,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,amelia_vowels.wav,107.22875,107.96148,WHODAH,amelia,V,A,u,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i
B,amelia_vowels_48,amelia_vowels_22,ewan_46,stimulus87_B,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u
A,ewan_46,ewan_21,amelia_vowels_48,stimulus88_A,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u
A,amelia_vowels_33,amelia_vowels_25,ewan_34,stimulus89_A,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ
