CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
A,ewan_103,stimulus128_A,stimuli/raw/ewan.wav,295.1025,295.6425,EETHEE,ewan,C,I,θ,0.291773884855597,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE,0.290704272275212,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
B,amelia_vowels_41,stimulus19_B,stimuli/raw/amelia_vowels.wav,107.22875,107.96148000000001,WHODAH,amelia,V,A,u,0.319237491126456,A,V,stimuli/raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH,0.246073239251266,A,V,stimuli/raw/ewan.wav,ewan_41,121.8625,121.1525,u,ewan,WHODAH
B,ewan_76,stimulus74_B,stimuli/raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,0.255593706079232,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH,0.258636858437293,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH
B,amelia_consonants_10,stimulus119_B,stimuli/raw/amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,0.296381848583504,A,C,stimuli/raw/ewan.wav,ewan_52,158.9425,158.3825,p,ewan,APAH,0.284200739961684,A,C,stimuli/raw/ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH
B,amelia_consonants_50,stimulus127_B,stimuli/raw/amelia_consonants.wav,132.2225,132.8825,ATHAH,amelia,C,A,θ,0.256969714768439,A,C,stimuli/raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,0.232142944596954,A,C,stimuli/raw/ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH
A,ewan_50,stimulus68_A,stimuli/raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,0.287134869438915,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH,0.288152665452424,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_2,5.58607,5.00997,p,amelia,APAH
B,ewan_29,stimulus31_B,stimuli/raw/ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,0.280755872332499,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_14,36.2991,35.597,æ,amelia,HAEDI,0.244579147714411,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_29,77.88257,77.21549,ʌ,amelia,HUHDI
B,amelia_consonants_46,stimulus126_B,stimuli/raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,0.291773884855597,I,C,stimuli/raw/ewan.wav,ewan_103,295.6425,295.1025,θ,ewan,EETHEE,0.251773360732354,I,C,stimuli/raw/ewan.wav,ewan_94,272.5425,271.9525,ʃ,ewan,EESHEE
A,amelia_vowels_33,stimulus28_A,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,0.33020695599729,A,V,stimuli/raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH,0.3075805028781,A,V,stimuli/raw/ewan.wav,ewan_33,98.1925,97.48359,ʊ,ewan,HOODAH
A,ewan_52,stimulus113_A,stimuli/raw/ewan.wav,158.3825,158.9425,APAH,ewan,C,A,p,0.289815367738662,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_50,132.8825,132.2225,θ,amelia,ATHAH,0.231049305365538,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_4,10.17064,9.59178,p,amelia,APAH
A,ewan_94,stimulus121_A,stimuli/raw/ewan.wav,271.9525,272.5425,EESHEE,ewan,C,I,ʃ,0.311012828461269,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_39,104.88504,104.21429,s,amelia,EESSEE,0.251773360732354,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE
A,amelia_consonants_6,stimulus117_A,stimuli/raw/amelia_consonants.wav,15.68234,16.262610000000002,EEPEE,amelia,C,I,p,0.265915995521693,I,C,stimuli/raw/ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE,0.266178206938074,I,C,stimuli/raw/ewan.wav,ewan_54,164.3725,163.7625,p,ewan,EEPEE
A,amelia_vowels_10,stimulus29_A,stimuli/raw/amelia_vowels.wav,25.31,26.0725,HAEDAH,amelia,V,A,æ,0.252175357668027,A,V,stimuli/raw/ewan.wav,ewan_25,73.8125,73.0025,ʌ,ewan,HUHDAH,0.221411426604013,A,V,stimuli/raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
A,ewan_92,stimulus125_A,stimuli/raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,0.256969714768439,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_50,132.8825,132.2225,θ,amelia,ATHAH,0.213923792568668,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_44,117.1625,116.4925,ʃ,amelia,ASHAH
